index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
870,18235,0.7809999847412109,0.5840000152587891,0.026035988703370094,60,MissedShots,Leicester,a,Harvey Barnes,0,0,0,0,,0,0
861,18235,0.9780000305175781,0.51,0.7087773680686951,62,Goal,Chelsea,h,Raheem Sterling,0,0,1,0,,0,0
871,18235,0.9169999694824219,0.6759999847412109,0.07579958438873291,65,Goal,Leicester,a,Harvey Barnes,0,0,0,1,,1,0
872,18235,0.7780000305175782,0.4759999847412109,0.03521323949098587,68,MissedShots,Leicester,a,Kelechi Iheanacho,0,0,0,0,,0,1
873,18235,0.759000015258789,0.5979999923706054,0.01932808756828308,69,BlockedShot,Leicester,a,Youri Tielemans,0,0,0,0,,0,0
862,18235,0.765,0.3370000076293945,0.024094684049487114,71,BlockedShot,Chelsea,h,Reece James,0,0,0,0,,0,0
874,18235,0.875999984741211,0.4329999923706055,0.019948681816458702,71,BlockedShot,Leicester,a,Jamie Vardy,0,0,0,0,,0,0
875,18235,0.879000015258789,0.7240000152587891,0.0402960367500782,72,SavedShot,Leicester,a,Harvey Barnes,0,0,0,0,,0,0
876,18235,0.835,0.3629999923706055,0.04784909635782242,72,MissedShots,Leicester,a,Kelechi Iheanacho,0,0,0,0,,0,0
877,18235,0.894000015258789,0.3629999923706055,0.2835072875022888,77,SavedShot,Leicester,a,Jamie Vardy,0,0,0,0,,0,0
878,18235,0.94,0.3340000152587891,0.4171715974807739,82,MissedShots,Leicester,a,Jamie Vardy,0,0,0,0,,0,0
879,18235,0.874000015258789,0.375,0.10547251254320145,86,ShotOnPost,Leicester,a,Ayoze Pérez,0,0,0,0,,0,0
880,18236,0.9269999694824219,0.5420000076293945,0.3682476282119751,2,Goal,Liverpool,h,Luis Díaz,0,0,1,0,,0,0
881,18236,0.8030000305175782,0.41400001525878904,0.05668313056230545,5,Goal,Liverpool,h,Harvey Elliott,0,0,1,0,,1,0
899,18236,0.9319999694824219,0.49700000762939456,0.08138161152601242,14,SavedShot,Bournemouth,a,Kieffer Moore,0,0,0,0,,1,0
882,18236,0.9830000305175781,0.4809999847412109,0.9698243737220764,15,MissedShots,Liverpool,h,Mohamed Salah,0,0,0,0,,0,0
900,18236,0.705999984741211,0.5459999847412109,0.007731403224170208,16,SavedShot,Bournemouth,a,Jaidon Anthony,0,0,0,0,,0,0
883,18236,0.9359999847412109,0.375,0.13758409023284912,18,SavedShot,Liverpool,h,Mohamed Salah,0,0,0,0,,0,0
884,18236,0.7580000305175781,0.365,0.019762659445405006,27,Goal,Liverpool,h,Trent Alexander-Arnold,0,0,1,0,,0,0
885,18236,0.9640000152587891,0.509000015258789,0.7363106608390808,30,Goal,Liverpool,h,Roberto Firmino,0,0,1,0,,1,0
886,18236,0.9130000305175782,0.6190000152587891,0.04375583678483963,33,MissedShots,Liverpool,h,Andrew Robertson,0,0,0,0,,1,0
901,18236,0.894000015258789,0.720999984741211,0.028323275968432426,37,ShotOnPost,Bournemouth,a,Ryan Christie,0,0,0,0,,0,0
887,18236,0.8869999694824219,0.6559999847412109,0.04759875684976578,41,MissedShots,Liverpool,h,Mohamed Salah,0,0,0,0,,0,0
888,18236,0.740999984741211,0.4229999923706055,0.06646201759576797,44,SavedShot,Liverpool,h,Roberto Firmino,0,0,0,0,,0,0
889,18236,0.89,0.5159999847412109,0.04681680351495743,44,Goal,Liverpool,h,Virgil van Dijk,0,0,1,0,,0,0
902,18236,0.07400000095367432,0.4759999847412109,0,45,OwnGoal,Bournemouth,a,Chris Mepham,0,0,1,0,,1,0
890,18236,0.9219999694824219,0.6569999694824219,0.11155258864164352,50,MissedShots,Liverpool,h,Roberto Firmino,0,0,0,0,,1,0
